deviceID,zoneID,gymID,deviceType
1,10,214,Card Reader
2,10,214,Barcode Scanner
3,10,214,QR Code Scanner
4,2,139,Keypad Access
5,2,139,Keypad Access
6,5,250,NFC Reader
7,5,250,Turnstile
8,5,250,Turnstile
9,5,186,NFC Reader
10,5,186,Card Reader
11,4,284,Barcode Scanner
12,4,284,Card Reader
13,8,310,Barcode Scanner
14,8,310,Mobile App Scanner
15,8,310,Keypad Access
16,8,105,Facial Recognition
17,8,105,Keypad Access
18,8,194,Keypad Access
19,8,194,Facial Recognition
20,8,194,Gate Access
21,3,67,NFC Reader
22,3,67,Gate Access
23,4,12,Barcode Scanner
24,4,12,NFC Reader
25,3,212,Mobile App Scanner
26,3,212,Card Reader
27,1,105,Gate Access
28,1,105,QR Code Scanner
29,1,105,Gate Access
30,3,104,Keypad Access
31,3,104,Facial Recognition
32,3,104,NFC Reader
33,5,263,NFC Reader
34,5,263,NFC Reader
35,10,308,Barcode Scanner
36,10,308,Facial Recognition
37,10,308,NFC Reader
38,2,397,QR Code Scanner
39,2,397,Gate Access
40,3,251,Turnstile
41,3,251,Turnstile
42,9,61,Mobile App Scanner
43,9,61,NFC Reader
44,2,122,Mobile App Scanner
45,2,122,NFC Reader
46,1,76,Mobile App Scanner
47,1,76,Card Reader
48,5,288,Turnstile
49,5,288,Gate Access
50,5,288,Gate Access
51,8,64,Mobile App Scanner
52,8,64,Fingerprint Scanner
53,2,209,Mobile App Scanner
54,2,209,NFC Reader
55,2,209,Barcode Scanner
56,1,176,Keypad Access
57,1,176,Mobile App Scanner
58,1,176,Turnstile
59,6,288,Gate Access
60,6,288,Fingerprint Scanner
61,10,346,Barcode Scanner
62,10,346,Facial Recognition
63,10,346,Gate Access
64,5,364,Facial Recognition
65,5,364,Barcode Scanner
66,10,391,Gate Access
67,10,391,Mobile App Scanner
68,2,90,Barcode Scanner
69,2,90,Mobile App Scanner
70,2,90,QR Code Scanner
71,8,394,Gate Access
72,8,394,Facial Recognition
73,8,394,Gate Access
74,6,32,Facial Recognition
75,6,32,Facial Recognition
76,5,120,Barcode Scanner
77,5,120,Gate Access
78,5,120,Card Reader
79,3,282,Mobile App Scanner
80,3,282,Mobile App Scanner
81,3,282,Gate Access
82,4,292,Mobile App Scanner
83,4,292,Facial Recognition
84,3,248,Fingerprint Scanner
85,3,248,Keypad Access
86,8,5,Turnstile
87,8,5,Gate Access
88,5,44,Fingerprint Scanner
89,5,44,Gate Access
90,7,98,NFC Reader
91,7,98,Keypad Access
92,7,98,Card Reader
93,5,340,Facial Recognition
94,5,340,QR Code Scanner
95,9,125,Facial Recognition
96,9,125,Keypad Access
97,9,125,Facial Recognition
98,1,242,Card Reader
99,1,242,Fingerprint Scanner
100,1,242,QR Code Scanner
101,6,10,Fingerprint Scanner
102,6,10,Gate Access
103,8,178,Facial Recognition
104,8,178,Facial Recognition
105,9,177,Mobile App Scanner
106,9,177,Mobile App Scanner
107,9,177,NFC Reader
108,1,33,QR Code Scanner
109,1,33,NFC Reader
110,1,33,NFC Reader
111,6,397,NFC Reader
112,6,397,Keypad Access
113,7,144,Mobile App Scanner
114,7,144,NFC Reader
115,7,144,Fingerprint Scanner
116,6,214,Keypad Access
117,6,214,Fingerprint Scanner
118,6,214,Barcode Scanner
119,1,239,Card Reader
120,1,239,Barcode Scanner
121,3,35,Mobile App Scanner
122,3,35,Fingerprint Scanner
123,6,384,QR Code Scanner
124,6,384,Card Reader
125,10,166,Turnstile
126,10,166,Keypad Access
127,10,166,Turnstile
128,6,48,Mobile App Scanner
129,6,48,Barcode Scanner
130,6,48,Barcode Scanner
131,5,327,NFC Reader
132,5,327,Keypad Access
133,5,327,QR Code Scanner
134,6,158,NFC Reader
135,6,158,Fingerprint Scanner
136,2,32,Facial Recognition
137,2,32,Keypad Access
138,2,32,NFC Reader
139,2,284,Card Reader
140,2,284,Gate Access
141,2,284,Turnstile
142,5,379,Card Reader
143,5,379,Mobile App Scanner
144,5,379,Keypad Access
145,10,118,Keypad Access
146,10,118,Card Reader
147,10,118,Fingerprint Scanner
148,1,19,Fingerprint Scanner
149,1,19,Card Reader
150,1,19,Turnstile
151,5,392,Card Reader
152,5,392,Keypad Access
153,5,392,QR Code Scanner
154,6,279,Card Reader
155,6,279,Gate Access
156,6,279,Keypad Access
157,3,211,Gate Access
158,3,211,QR Code Scanner
159,3,211,Mobile App Scanner
160,1,212,NFC Reader
161,1,212,Gate Access
162,1,158,Facial Recognition
163,1,158,Gate Access
164,8,248,NFC Reader
165,8,248,QR Code Scanner
166,8,248,Barcode Scanner
167,3,170,Card Reader
168,3,170,QR Code Scanner
169,3,170,Card Reader
170,8,32,Mobile App Scanner
171,8,32,Fingerprint Scanner
172,8,32,QR Code Scanner
173,2,56,Facial Recognition
174,2,56,Card Reader
175,2,56,Keypad Access
176,2,51,Card Reader
177,2,51,Card Reader
178,3,61,NFC Reader
179,3,61,NFC Reader
180,4,151,Gate Access
181,4,151,NFC Reader
182,2,280,Gate Access
183,2,280,Facial Recognition
184,8,321,QR Code Scanner
185,8,321,Barcode Scanner
186,8,321,QR Code Scanner
187,6,112,QR Code Scanner
188,6,112,NFC Reader
189,8,169,Barcode Scanner
190,8,169,Fingerprint Scanner
191,8,169,Turnstile
192,7,274,Gate Access
193,7,274,Barcode Scanner
194,5,371,Fingerprint Scanner
195,5,371,Card Reader
196,5,371,Facial Recognition
197,3,60,NFC Reader
198,3,60,Mobile App Scanner
199,3,60,Turnstile
200,4,49,Keypad Access
201,4,49,Fingerprint Scanner
202,4,49,Mobile App Scanner
203,2,107,Card Reader
204,2,107,NFC Reader
205,2,107,Turnstile
206,7,262,Barcode Scanner
207,7,262,Turnstile
208,4,62,Facial Recognition
209,4,62,Facial Recognition
210,10,50,Gate Access
211,10,50,Barcode Scanner
212,10,50,QR Code Scanner
213,1,289,Barcode Scanner
214,1,289,Turnstile
215,1,289,Mobile App Scanner
216,5,353,Turnstile
217,5,353,Facial Recognition
218,5,215,Facial Recognition
219,5,215,Facial Recognition
220,5,224,Barcode Scanner
221,5,224,Card Reader
222,5,224,Mobile App Scanner
223,2,290,Barcode Scanner
224,2,290,Mobile App Scanner
225,9,306,Keypad Access
226,9,306,NFC Reader
227,2,134,Barcode Scanner
228,2,134,Fingerprint Scanner
229,2,134,Keypad Access
230,7,316,Gate Access
231,7,316,Mobile App Scanner
232,7,316,Card Reader
233,3,143,NFC Reader
234,3,143,Keypad Access
235,8,195,QR Code Scanner
236,8,195,Facial Recognition
237,10,299,Turnstile
238,10,299,Gate Access
239,10,299,Keypad Access
240,5,15,QR Code Scanner
241,5,15,Card Reader
242,10,246,Keypad Access
243,10,246,Gate Access
244,10,246,Facial Recognition
245,2,326,Card Reader
246,2,326,Facial Recognition
247,2,326,Mobile App Scanner
248,1,152,Fingerprint Scanner
249,1,152,Facial Recognition
250,1,152,Turnstile
251,1,257,Barcode Scanner
252,1,257,NFC Reader
253,7,165,Mobile App Scanner
254,7,165,NFC Reader
255,4,177,Barcode Scanner
256,4,177,Keypad Access
257,4,177,Turnstile
258,9,202,Card Reader
259,9,202,QR Code Scanner
260,8,308,Fingerprint Scanner
261,8,308,Mobile App Scanner
262,1,52,NFC Reader
263,1,52,Facial Recognition
264,3,253,Card Reader
265,3,253,NFC Reader
266,3,253,NFC Reader
267,3,17,Turnstile
268,3,17,Barcode Scanner
269,3,17,Fingerprint Scanner
270,8,324,QR Code Scanner
271,8,324,Turnstile
272,2,244,Keypad Access
273,2,244,Card Reader
274,2,244,Card Reader
275,2,14,QR Code Scanner
276,2,14,Mobile App Scanner
277,2,14,Card Reader
278,9,291,NFC Reader
279,9,291,Gate Access
280,8,350,Card Reader
281,8,350,Barcode Scanner
282,8,350,Turnstile
283,3,246,Fingerprint Scanner
284,3,246,Facial Recognition
285,3,246,Card Reader
286,1,16,Gate Access
287,1,16,Fingerprint Scanner
288,6,309,Gate Access
289,6,309,Facial Recognition
290,8,184,Fingerprint Scanner
291,8,184,Facial Recognition
292,5,301,Turnstile
293,5,301,QR Code Scanner
294,5,301,NFC Reader
295,5,328,NFC Reader
296,5,328,Mobile App Scanner
297,5,328,Card Reader
298,10,254,Mobile App Scanner
299,10,254,Keypad Access
300,10,254,Barcode Scanner
301,9,209,Facial Recognition
302,9,209,Turnstile
303,2,353,Keypad Access
304,2,353,Turnstile
305,5,192,Keypad Access
306,5,192,QR Code Scanner
307,5,192,Facial Recognition
308,6,352,NFC Reader
309,6,352,Mobile App Scanner
310,5,339,Facial Recognition
311,5,339,Turnstile
312,5,339,NFC Reader
313,6,155,Mobile App Scanner
314,6,155,Fingerprint Scanner
315,3,42,Turnstile
316,3,42,Mobile App Scanner
317,3,42,Gate Access
318,1,332,Fingerprint Scanner
319,1,332,Turnstile
320,8,313,QR Code Scanner
321,8,313,Gate Access
322,8,313,Card Reader
323,8,386,Barcode Scanner
324,8,386,QR Code Scanner
325,7,346,Fingerprint Scanner
326,7,346,Facial Recognition
327,5,279,Mobile App Scanner
328,5,279,Turnstile
329,7,92,QR Code Scanner
330,7,92,Fingerprint Scanner
331,5,229,NFC Reader
332,5,229,Gate Access
333,6,1,Mobile App Scanner
334,6,1,Facial Recognition
335,6,1,Gate Access
336,6,311,Turnstile
337,6,311,Fingerprint Scanner
338,6,311,Card Reader
339,8,380,Barcode Scanner
340,8,380,Keypad Access
341,5,35,Fingerprint Scanner
342,5,35,QR Code Scanner
