personID,date,deviceID,zoneID,gymID,specialNotes,serviceType
439,2025-02-17 13:32:49,473,7,196,Ordered replacement parts,Upgrade
669,2025-02-15 13:24:15,1033,6,271,Cleared dust accumulation,Urgent Repair
412,2024-08-29 13:12:06,103,8,178,Upgraded firmware,Maintenance
427,2025-02-27 09:55:36,341,5,35,Performed routine checkup,Urgent Repair
616,2025-02-05 12:31:05,475,5,144,Cleared dust accumulation,Upgrade
601,2024-08-22 17:34:45,781,3,148,Performed routine checkup,Maintenance
500,2024-05-30 15:22:01,1241,7,215,Replaced faulty part,Inspection
545,2024-05-11 03:55:29,349,7,370,Ordered replacement parts,Upgrade
698,2024-05-01 05:10:48,1139,9,189,Lubricated moving parts,Urgent Repair
667,2024-09-06 00:26:05,1443,7,52,Minor fix only,Replacement
593,2024-12-03 18:15:51,654,9,72,Cleared dust accumulation,Maintenance
438,2024-06-13 20:05:14,1023,10,37,Replaced faulty part,Upgrade
544,2024-11-14 06:04:23,1339,8,398,Adjusted alignment,Maintenance
659,2025-03-24 13:31:35,968,7,378,Lubricated moving parts,Maintenance
625,2025-02-26 14:17:20,754,8,238,Performed routine checkup,Replacement
690,2024-08-18 09:41:44,498,2,83,Detailed inspection completed,Urgent Repair
512,2024-09-15 07:54:23,1468,6,341,Adjusted alignment,Upgrade
645,2024-06-05 03:47:13,538,9,184,Ordered replacement parts,Urgent Repair
557,2024-10-24 09:17:07,460,2,48,Performed routine checkup,Replacement
610,2025-01-13 20:02:08,170,8,32,Found worn cable,Upgrade
450,2025-03-18 07:52:57,1085,6,187,Found worn cable,Maintenance
774,2024-05-14 00:23:44,592,1,324,Minor fix only,Replacement
700,2025-01-29 12:13:54,335,6,1,Adjusted alignment,Inspection
440,2024-07-01 04:05:47,1084,4,237,Adjusted alignment,Inspection
425,2024-12-16 19:05:46,769,9,62,Found worn cable,Upgrade
668,2024-08-22 22:52:57,1356,9,28,Replaced faulty part,Inspection
444,2024-08-16 00:39:07,163,1,158,Minor fix only,Replacement
610,2024-09-02 05:05:10,1172,8,229,Lubricated moving parts,Inspection
528,2024-08-23 08:14:15,1282,9,284,Found worn cable,Inspection
681,2025-02-02 18:51:39,975,7,85,Upgraded firmware,Upgrade
500,2024-05-13 04:14:42,884,5,212,Replaced faulty part,Urgent Repair
614,2024-12-22 05:08:00,16,8,105,Adjusted alignment,Replacement
565,2024-10-10 00:50:05,843,7,19,Lubricated moving parts,Upgrade
661,2024-11-09 19:41:43,1077,6,264,Replaced faulty part,Maintenance
708,2024-07-04 19:10:02,1267,7,265,Lubricated moving parts,Replacement
782,2024-08-02 21:23:30,1196,10,202,Replaced faulty part,Urgent Repair
548,2024-05-04 09:36:37,1257,8,23,Upgraded firmware,Inspection
578,2024-04-05 19:18:20,1256,8,23,Lubricated moving parts,Maintenance
412,2025-03-24 23:35:54,465,6,208,Replaced faulty part,Maintenance
760,2024-09-01 02:43:27,718,5,266,Ordered replacement parts,Replacement
753,2024-07-06 00:28:21,776,6,300,Replaced faulty part,Upgrade
619,2024-11-30 08:28:31,1303,2,87,Ordered replacement parts,Replacement
557,2024-10-04 08:39:37,1338,2,93,Performed routine checkup,Upgrade
782,2025-02-18 16:48:29,829,3,192,Minor fix only,Replacement
641,2024-10-05 01:12:42,263,1,52,Lubricated moving parts,Inspection
583,2024-08-25 14:32:18,1204,9,116,Cleared dust accumulation,Inspection
766,2024-05-11 17:10:57,1042,9,299,Cleared dust accumulation,Upgrade
416,2024-06-20 03:07:59,1381,7,279,Found worn cable,Inspection
545,2025-01-28 14:36:53,843,7,19,Adjusted alignment,Replacement
709,2024-12-12 16:19:33,745,5,105,Adjusted alignment,Replacement
515,2025-03-02 06:52:18,50,5,288,Minor fix only,Replacement
484,2025-01-18 03:21:38,346,5,299,Lubricated moving parts,Maintenance
444,2024-05-21 00:18:03,1431,4,149,Cleared dust accumulation,Replacement
403,2025-01-18 08:34:00,1006,8,301,Performed routine checkup,Urgent Repair
725,2024-10-26 02:35:58,834,9,327,Adjusted alignment,Upgrade
421,2024-12-14 01:17:39,1176,2,230,Upgraded firmware,Maintenance
479,2025-02-18 19:04:15,1198,2,185,Cleared dust accumulation,Maintenance
624,2024-10-23 18:12:26,1335,9,175,Upgraded firmware,Upgrade
450,2024-06-11 01:15:09,99,1,242,Detailed inspection completed,Inspection
648,2024-10-18 06:14:44,1279,3,139,Adjusted alignment,Replacement
422,2025-02-04 11:29:07,1313,10,255,Lubricated moving parts,Inspection
781,2025-02-25 02:46:44,1306,7,41,Minor fix only,Urgent Repair
441,2024-07-12 09:39:54,169,3,170,Detailed inspection completed,Urgent Repair
674,2024-12-19 02:11:26,1462,6,176,Ordered replacement parts,Urgent Repair
408,2025-02-28 17:54:59,813,4,137,Detailed inspection completed,Inspection
558,2025-01-10 02:48:20,924,7,77,Lubricated moving parts,Inspection
588,2024-08-05 00:28:40,587,10,312,Lubricated moving parts,Maintenance
794,2024-04-23 20:28:00,561,7,286,Adjusted alignment,Replacement
761,2025-01-31 22:17:33,759,10,247,Upgraded firmware,Urgent Repair
690,2024-09-14 03:10:56,1233,1,166,Replaced faulty part,Upgrade
458,2024-05-02 12:34:35,656,2,132,Lubricated moving parts,Replacement
468,2024-08-10 23:12:10,785,5,86,Lubricated moving parts,Maintenance
