gymid,gymname,gymlocation
1,StrengthStudio,Haifa
2,FlexFrenzy,Acre
3,PowerPulse,Tiberias
4,SweatSquad,Herzliya
5,FlexFlow,Haifa
6,CoreCraze,Tel Aviv
7,FitFury,Ashkelon
8,StrengthStudio,Ashkelon
9,SweatSizzle,Acre
10,PeakPower,Tiberias
11,SweatSculpt,Safed
12,StrengthStrong,Haifa
13,BodyBlast,Kfar Saba
14,CoreCircuit,Haifa
15,BodyBlast,Kfar Saba
16,BodyBoost,Petah Tikva
17,BodyBurn,Herzliya
18,CardioCrush,Beersheba
19,EliteEndurance,Beersheba
20,CardioCore,Kfar Saba
21,PeakPower,Herzliya
22,IronGrip,Jerusalem
23,CoreCircuit,Petah Tikva
24,SweatSculpt,Tel Aviv
25,FitFlex,Ashkelon
26,PowerPlay,Eilat
27,MuscleMania,Safed
28,SweatStorm,Jerusalem
29,StrengthStrong,Ashkelon
30,CardioCrush,Jerusalem
31,CoreCraze,Ramat Gan
32,FlexFrenzy,Kfar Saba
33,FitFusion,Bat Yam
34,PeakPulse,Rishon LeZion
35,BodyBlast,Netanya
36,PowerPump,Acre
37,PeakPulse,Petah Tikva
38,IronGrip,Safed
39,FlexFitness,Beersheba
40,StrengthZone,Netanya
41,CardioCraze,Ashdod
42,CoreCrush,Haifa
43,MuscleMagic,Eilat
44,GymRat,Netanya
45,PeakPerformance,Tiberias
46,FitForce,Ashdod
47,IronIntensity,Netanya
48,BodyBalance,Beersheba
49,EliteEnergy,Modi'in
50,GymGains,Jerusalem
51,FitFusion,Haifa
52,SweatSculpt,Jerusalem
53,MuscleMagic,Acre
54,CoreCircuit,Bat Yam
55,BodyBurn,Eilat
56,PowerPump,Eilat
57,GymGlory,Tiberias
58,BodyBurn,Netanya
59,CardioCrush,Modi'in
60,IronGrip,Kfar Saba
61,CardioCore,Eilat
62,PeakPower,Nahariya
63,FitFury,Safed
64,SweatStorm,Nahariya
65,PowerPump,Jerusalem
66,FlexFlow,Bat Yam
67,PowerPulse,Beersheba
68,EnduranceEdge,Herzliya
69,EliteEssence,Ramat Gan
70,BodyBalance,Ashdod
71,EliteEnergy,Tel Aviv
72,FlexFit,Tel Aviv
73,PowerPulse,Netanya
74,IronIntensity,Holon
75,BodyBalance,Modi'in
76,SweatWorks,Kfar Saba
77,PeakPulse,Tiberias
78,FlexFrenzy,Bat Yam
79,MuscleMania,Haifa
80,SweatSculpt,Holon
81,SweatStorm,Tel Aviv
82,StrengthStudio,Nahariya
83,CoreCircuit,Modi'in
84,PowerPump,Tel Aviv
85,PeakPerformance,Haifa
86,StrengthZone,Acre
87,FlexFrenzy,Netanya
88,FitForce,Petah Tikva
89,IronImpact,Ramat Gan
90,IronImpact,Holon
91,EnduranceElite,Ashkelon
92,CoreCircuit,Petah Tikva
93,SweatSculpt,Herzliya
94,CoreCircuit,Herzliya
95,CoreCircuit,Bat Yam
96,BodyBalance,Ashdod
97,EnduranceElite,Tiberias
98,MuscleMania,Tel Aviv
99,FlexFlow,Tiberias
100,FitForm,Kfar Saba
101,CardioCrush,Tel Aviv
102,SweatSculpt,Nahariya
103,BodyBlast,Petah Tikva
104,FlexFit,Eilat
105,BodyBalance,Jerusalem
106,IronIntensity,Nahariya
107,FlexFitness,Ramat Gan
108,FitZone,Ashdod
109,EnduranceEmpire,Bat Yam
110,EliteEssence,Bat Yam
111,EliteEndurance,Rishon LeZion
112,SweatSculpt,Tel Aviv
113,EliteEnergy,Tel Aviv
114,EliteEssence,Jerusalem
115,CardioCrush,Ashdod
116,FlexFit,Ramat Gan
117,EnduranceEdge,Beersheba
118,CoreCrush,Nahariya
119,FlexFlow,Tiberias
120,BodyBoost,Kfar Saba
121,PowerPump,Holon
122,BodyBurn,Jerusalem
123,BodyBlast,Jerusalem
124,CardioCore,Beersheba
125,FitForce,Beersheba
126,BodyBalance,Jerusalem
127,FitFusion,Ashkelon
128,SweatStorm,Holon
129,MuscleMania,Beersheba
130,CardioCrush,Jerusalem
131,IronGrip,Ashdod
132,FlexFrenzy,Ramat Gan
133,IronStrong,Ashdod
134,PowerPlay,Jerusalem
135,BodyBlast,Haifa
136,FitFury,Safed
137,FlexFit,Nahariya
138,SweatSculpt,Modi'in
139,PeakPerformance,Nahariya
140,PeakPower,Acre
141,SweatSquad,Haifa
142,FlexFit,Tel Aviv
143,FlexFlow,Nahariya
144,IronGrip,Safed
145,EnduranceEdge,Holon
146,EnduranceEmpire,Jerusalem
147,CardioCore,Haifa
148,EliteEssence,Ramat Gan
149,FitForce,Holon
150,FitForm,Ashdod
151,MuscleMania,Bat Yam
152,CoreCrush,Holon
153,BodyBlast,Ashdod
154,EliteEnergy,Holon
155,EnduranceElite,Eilat
156,EnduranceEmpire,Kfar Saba
157,FitFusion,Holon
158,EliteEnergy,Acre
159,FitForm,Tiberias
160,PeakPerformance,Modi'in
161,FitFusion,Jerusalem
162,PowerPlay,Rishon LeZion
163,GymGlory,Herzliya
164,EliteEssence,Ashdod
165,CoreCrush,Kfar Saba
166,PowerPulse,Nahariya
167,EnduranceEmpire,Ashdod
168,EnduranceElite,Holon
169,BodyBalance,Kfar Saba
