personid,deviceid,zoneid,gymid,exittime
790,789,2,387,2024-11-05 08:47:40
686,1103,4,234,2024-10-24 23:59:00
81,505,10,355,2024-04-26 03:18:26
290,1160,5,373,2024-12-31 04:18:32
124,367,1,14,2024-12-03 07:31:10
67,167,3,170,2024-07-07 03:33:13
250,997,4,320,2024-04-26 23:59:00
598,1043,9,299,2024-07-18 23:06:08
83,1265,1,384,2024-06-04 16:03:29
392,83,4,292,2024-11-24 15:29:48
274,1224,6,335,2025-04-01 14:00:24
74,290,8,184,2024-07-11 23:59:00
145,369,9,39,2024-05-06 23:59:00
124,844,3,257,2024-09-19 11:03:44
202,722,2,314,2024-09-27 14:00:56
139,1008,6,378,2024-05-22 21:36:11
6,545,7,198,2024-12-25 11:05:54
6,1366,4,223,2025-03-15 16:16:20
120,559,10,150,2024-06-19 15:30:39
537,1443,7,52,2024-12-20 17:07:14
276,427,6,379,2024-06-08 22:43:49
36,515,6,363,2024-05-19 14:14:37
501,100,1,242,2024-04-12 05:17:55
147,222,5,224,2025-02-20 17:13:31
578,619,10,27,2025-01-12 15:29:11
203,330,7,92,2025-02-11 23:59:00
245,158,3,211,2024-04-29 09:33:15
32,815,8,328,2024-08-02 04:37:39
119,930,6,203,2024-09-15 10:12:08
199,488,4,146,2025-03-28 14:19:57
118,597,1,197,2025-02-26 13:16:35
276,578,7,312,2024-07-22 10:59:51
363,740,5,100,2024-11-22 23:59:00
236,864,8,283,2025-03-16 23:59:00
141,320,8,313,2024-05-20 16:50:58
370,69,2,90,2025-02-07 07:06:49
128,1189,2,186,2024-10-01 18:55:40
788,971,8,72,2024-09-18 07:15:39
284,1224,6,335,2024-12-11 15:27:40
155,89,5,44,2024-11-15 23:59:00
573,212,10,50,2024-10-13 05:33:00
550,1204,9,116,2024-12-11 15:58:12
247,900,5,32,2024-08-01 11:38:01
98,1411,8,377,2024-05-21 18:52:32
223,265,3,253,2025-02-17 11:44:52
161,1234,10,347,2024-12-26 08:24:28
224,1097,4,86,2025-03-15 20:46:54
772,1451,7,336,2024-07-22 23:59:00
10,55,2,209,2024-06-16 03:46:06
469,267,3,17,2024-10-06 16:17:55
60,507,10,355,2024-08-12 05:23:13
156,884,5,212,2024-12-29 23:59:00
203,1379,7,279,2025-04-02 16:58:59
208,177,2,51,2024-04-17 12:59:31
242,489,4,101,2024-06-30 09:18:53
8,1061,9,122,2024-07-29 19:38:34
125,38,2,397,2025-02-20 15:13:54
223,449,7,347,2024-07-02 22:50:54
718,354,6,297,2024-10-29 02:25:29
2,1021,10,37,2024-08-22 14:09:31
268,580,9,41,2024-07-11 16:27:29
46,1385,10,122,2024-05-30 18:59:27
207,339,8,380,2024-05-21 09:33:49
485,1205,9,116,2024-06-07 23:59:00
670,6,5,250,2025-01-03 23:59:00
462,1001,3,238,2025-03-21 23:59:00
155,993,1,320,2024-12-08 22:11:49
14,1437,1,184,2024-11-05 04:37:19
585,252,1,257,2024-09-29 13:10:36
331,569,6,163,2025-01-23 16:35:49
343,334,6,1,2024-08-28 14:32:45
233,989,9,264,2024-07-03 11:11:00
67,309,6,352,2024-10-24 19:53:05
522,8,5,250,2024-05-03 09:31:31
196,1018,6,21,2024-05-04 14:43:03
393,149,1,19,2024-06-21 23:59:00
80,923,7,77,2025-03-06 05:55:33
317,1092,9,241,2024-11-18 06:48:50
709,1315,10,373,2025-01-23 16:51:24
359,603,2,204,2024-06-01 23:59:00
663,840,10,41,2024-08-06 04:09:29
711,1148,6,330,2024-05-17 18:17:49
625,534,5,312,2024-04-15 12:32:07
376,1080,1,70,2024-09-25 01:58:32
261,1387,10,122,2024-07-22 01:46:14
650,612,1,228,2024-10-19 15:22:48
227,363,6,76,2024-07-26 14:52:12
232,949,3,386,2024-05-30 22:20:20
